Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|287.6682.peg.678	CDS	NODE_13_length_207869_cov_6.973549	25816	20090	-1	-	5727	hypothetical protein	- none -	 	 
fig|287.6682.peg.679	CDS	NODE_13_length_207869_cov_6.973549	26579	25818	-2	-	762	Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)	- none -	 	 
fig|287.6682.peg.680	CDS	NODE_13_length_207869_cov_6.973549	28588	26594	-1	-	1995	hypothetical protein	- none -	 	 
fig|287.6682.peg.681	CDS	NODE_13_length_207869_cov_6.973549	29096	28599	-2	-	498	hypothetical protein	- none -	 	 
fig|287.6682.peg.682	CDS	NODE_13_length_207869_cov_6.973549	29469	29086	-3	-	384	response regulator receiver domain protein (CheY-like)	- none -	 	 
fig|287.6682.peg.683	CDS	NODE_13_length_207869_cov_6.973549	29787	30275	3	+	489	hypothetical protein	- none -	 	 
fig|287.6682.peg.684	CDS	NODE_13_length_207869_cov_6.973549	30466	31341	1	+	876	Chromosome (plasmid) partitioning protein ParB	- none -	 	 
fig|287.6682.peg.685	CDS	NODE_13_length_207869_cov_6.973549	31526	33463	2	+	1938	hypothetical protein	- none -	 	 
fig|287.6682.peg.686	CDS	NODE_13_length_207869_cov_6.973549	33665	34516	2	+	852	Chromosome (plasmid) partitioning protein ParA	- none -	 	 
fig|287.6682.peg.687	CDS	NODE_13_length_207869_cov_6.973549	34532	35779	2	+	1248	hypothetical protein	- none -	 	 
fig|287.6682.peg.688	CDS	NODE_13_length_207869_cov_6.973549	36990	38234	3	+	1245	hypothetical protein	- none -	 	 
fig|287.6682.peg.689	CDS	NODE_13_length_207869_cov_6.973549	38256	38396	3	+	141	hypothetical protein	- none -	 	 
fig|287.6682.peg.690	CDS	NODE_13_length_207869_cov_6.973549	38681	38821	2	+	141	hypothetical protein	- none -	 	 
fig|287.6682.peg.691	CDS	NODE_13_length_207869_cov_6.973549	39050	38913	-2	-	138	hypothetical protein	- none -	 	 
fig|287.6682.peg.692	CDS	NODE_13_length_207869_cov_6.973549	39514	40014	1	+	501	hypothetical protein	- none -	 	 
fig|287.6682.peg.693	CDS	NODE_13_length_207869_cov_6.973549	40487	40582	2	+	96	hypothetical protein	- none -	 	 
fig|287.6682.peg.694	CDS	NODE_13_length_207869_cov_6.973549	40664	41053	2	+	390	hypothetical protein	- none -	 	 
fig|287.6682.peg.695	CDS	NODE_13_length_207869_cov_6.973549	41221	42354	1	+	1134	Aerobic cobaltochelatase CobS subunit	- none -	 	 
fig|287.6682.peg.696	CDS	NODE_13_length_207869_cov_6.973549	42372	43163	3	+	792	hypothetical protein	- none -	 	 
fig|287.6682.peg.697	CDS	NODE_13_length_207869_cov_6.973549	43315	43494	1	+	180	hypothetical protein	- none -	 	 
fig|287.6682.peg.698	CDS	NODE_13_length_207869_cov_6.973549	43506	43721	3	+	216	hypothetical protein	- none -	 	 
fig|287.6682.peg.699	CDS	NODE_13_length_207869_cov_6.973549	43855	45966	1	+	2112	hypothetical protein	- none -	 	 
fig|287.6682.peg.700	CDS	NODE_13_length_207869_cov_6.973549	46042	46683	1	+	642	hypothetical protein	- none -	 	 
fig|287.6682.peg.701	CDS	NODE_13_length_207869_cov_6.973549	46803	47189	3	+	387	hypothetical protein	- none -	 	 
fig|287.6682.peg.702	CDS	NODE_13_length_207869_cov_6.973549	47269	47895	1	+	627	hypothetical protein	- none -	 	 
fig|287.6682.peg.703	CDS	NODE_13_length_207869_cov_6.973549	48057	49286	3	+	1230	hypothetical protein	- none -	 	 
fig|287.6682.peg.704	CDS	NODE_13_length_207869_cov_6.973549	49363	50124	1	+	762	hypothetical protein	- none -	 	 
fig|287.6682.peg.705	CDS	NODE_13_length_207869_cov_6.973549	50218	50856	1	+	639	hypothetical protein	- none -	 	 
fig|287.6682.peg.706	CDS	NODE_13_length_207869_cov_6.973549	50958	51278	3	+	321	hypothetical protein	- none -	 	 
fig|287.6682.peg.707	CDS	NODE_13_length_207869_cov_6.973549	51658	52602	1	+	945	hypothetical protein	- none -	 	 
fig|287.6682.peg.708	CDS	NODE_13_length_207869_cov_6.973549	52654	53340	1	+	687	Protein SprT	- none -	 	 
fig|287.6682.peg.709	CDS	NODE_13_length_207869_cov_6.973549	53356	54702	1	+	1347	hypothetical protein	- none -	 	 
fig|287.6682.peg.710	CDS	NODE_13_length_207869_cov_6.973549	54707	55177	2	+	471	hypothetical protein	- none -	 	 
fig|287.6682.peg.711	CDS	NODE_13_length_207869_cov_6.973549	56755	55226	-1	-	1530	hypothetical protein	- none -	 	 
fig|287.6682.peg.712	CDS	NODE_13_length_207869_cov_6.973549	56894	57835	2	+	942	hypothetical protein	- none -	 	 
fig|287.6682.peg.713	CDS	NODE_13_length_207869_cov_6.973549	57845	59491	2	+	1647	hypothetical protein	- none -	 	 
fig|287.6682.peg.714	CDS	NODE_13_length_207869_cov_6.973549	59491	60453	1	+	963	hypothetical protein	- none -	 	 
fig|287.6682.peg.715	CDS	NODE_13_length_207869_cov_6.973549	60450	60935	3	+	486	hypothetical protein	- none -	 	 
fig|287.6682.peg.716	CDS	NODE_13_length_207869_cov_6.973549	60940	61611	1	+	672	hypothetical protein	- none -	 	 
fig|287.6682.peg.717	CDS	NODE_13_length_207869_cov_6.973549	61614	63464	3	+	1851	Twitching motility protein PilT	Type IV pilus	 	 
fig|287.6682.peg.718	CDS	NODE_13_length_207869_cov_6.973549	63484	63930	1	+	447	hypothetical protein	- none -	 	 
fig|287.6682.peg.719	CDS	NODE_13_length_207869_cov_6.973549	63950	65113	2	+	1164	hypothetical protein	- none -	 	 
fig|287.6682.peg.720	CDS	NODE_13_length_207869_cov_6.973549	65123	65644	2	+	522	hypothetical protein	- none -	 	 
fig|287.6682.peg.721	CDS	NODE_13_length_207869_cov_6.973549	65709	66737	3	+	1029	hypothetical protein	- none -	 	 
fig|287.6682.peg.722	CDS	NODE_13_length_207869_cov_6.973549	67397	66768	-2	-	630	hypothetical protein	- none -	 	 
fig|287.6682.peg.723	CDS	NODE_13_length_207869_cov_6.973549	67939	70626	1	+	2688	hypothetical protein	- none -	 	 
fig|287.6682.peg.724	CDS	NODE_13_length_207869_cov_6.973549	70724	71302	2	+	579	hypothetical protein	- none -	 	 
fig|287.6682.peg.725	CDS	NODE_13_length_207869_cov_6.973549	71540	74920	2	+	3381	ATP-dependent DNA helicase UvrD/PcrA	DNA repair, bacterial UvrD and related helicases	 	 
fig|287.6682.peg.726	CDS	NODE_13_length_207869_cov_6.973549	74971	76020	1	+	1050	RecA protein	DNA repair, bacterial; <br>DNA repair, bacterial RecFOR pathway; <br>DNA repair, bacterial UmuCD system; <br>DNA repair system including RecA, MutS and a hypothetical protein; <br>RecA and RecX	 	 
fig|287.6682.peg.727	CDS	NODE_13_length_207869_cov_6.973549	76090	76287	1	+	198	hypothetical protein	- none -	 	 
fig|287.6682.peg.728	CDS	NODE_13_length_207869_cov_6.973549	76357	77133	1	+	777	hypothetical protein	- none -	 	 
fig|287.6682.peg.729	CDS	NODE_13_length_207869_cov_6.973549	77230	77514	1	+	285	hypothetical protein	- none -	 	 
fig|287.6682.peg.730	CDS	NODE_13_length_207869_cov_6.973549	78313	77876	-1	-	438	hypothetical protein	- none -	 	 
fig|287.6682.peg.731	CDS	NODE_13_length_207869_cov_6.973549	78743	78624	-2	-	120	hypothetical protein	- none -	 	 
fig|287.6682.peg.732	CDS	NODE_13_length_207869_cov_6.973549	79024	78800	-1	-	225	hypothetical protein	- none -	 	 
fig|287.6682.peg.733	CDS	NODE_13_length_207869_cov_6.973549	79386	79099	-3	-	288	hypothetical protein	- none -	 	 
fig|287.6682.peg.734	CDS	NODE_13_length_207869_cov_6.973549	80097	79408	-3	-	690	hypothetical protein	- none -	 	 
fig|287.6682.peg.735	CDS	NODE_13_length_207869_cov_6.973549	80300	80094	-2	-	207	hypothetical protein	- none -	 	 
fig|287.6682.peg.736	CDS	NODE_13_length_207869_cov_6.973549	80815	80312	-1	-	504	hypothetical protein	- none -	 	 
fig|287.6682.peg.737	CDS	NODE_13_length_207869_cov_6.973549	81739	81065	-1	-	675	hypothetical protein	- none -	 	 
fig|287.6682.peg.738	CDS	NODE_13_length_207869_cov_6.973549	82312	81788	-1	-	525	hypothetical protein	- none -	 	 
fig|287.6682.peg.739	CDS	NODE_13_length_207869_cov_6.973549	82521	82303	-3	-	219	hypothetical protein	- none -	 	 
fig|287.6682.peg.740	CDS	NODE_13_length_207869_cov_6.973549	83204	82518	-2	-	687	hypothetical protein	- none -	 	 
fig|287.6682.peg.741	CDS	NODE_13_length_207869_cov_6.973549	83617	83204	-1	-	414	hypothetical protein	- none -	 	 
fig|287.6682.peg.742	CDS	NODE_13_length_207869_cov_6.973549	83940	83683	-3	-	258	hypothetical protein	- none -	 	 
fig|287.6682.peg.743	CDS	NODE_13_length_207869_cov_6.973549	84197	84565	2	+	369	hypothetical protein	- none -	 	 
fig|287.6682.peg.744	CDS	NODE_13_length_207869_cov_6.973549	86192	85065	-2	-	1128	hypothetical protein	- none -	 	 
fig|287.6682.peg.745	CDS	NODE_13_length_207869_cov_6.973549	86742	86194	-3	-	549	hypothetical protein	- none -	 	 
fig|287.6682.peg.746	CDS	NODE_13_length_207869_cov_6.973549	87734	86745	-2	-	990	hypothetical protein	- none -	 	 
fig|287.6682.peg.747	CDS	NODE_13_length_207869_cov_6.973549	87912	89717	3	+	1806	hypothetical protein	- none -	 	 
fig|287.6682.peg.748	CDS	NODE_13_length_207869_cov_6.973549	89710	90297	1	+	588	hypothetical protein	- none -	 	 
fig|287.6682.peg.749	CDS	NODE_13_length_207869_cov_6.973549	90365	90898	2	+	534	hypothetical protein	- none -	 	 
fig|287.6682.peg.750	CDS	NODE_13_length_207869_cov_6.973549	90960	91322	3	+	363	hypothetical protein	- none -	 	 
fig|287.6682.peg.751	CDS	NODE_13_length_207869_cov_6.973549	91332	91577	3	+	246	hypothetical protein	- none -	 	 
fig|287.6682.peg.752	CDS	NODE_13_length_207869_cov_6.973549	91605	92297	3	+	693	hypothetical protein	- none -	 	 
fig|287.6682.peg.753	CDS	NODE_13_length_207869_cov_6.973549	92734	92360	-1	-	375	hypothetical protein	- none -	 	 
fig|287.6682.peg.754	CDS	NODE_13_length_207869_cov_6.973549	93301	92828	-1	-	474	hypothetical protein	- none -	 	 
fig|287.6682.peg.755	CDS	NODE_13_length_207869_cov_6.973549	93478	93335	-1	-	144	hypothetical protein	- none -	 	 
fig|287.6682.peg.756	CDS	NODE_13_length_207869_cov_6.973549	93772	93500	-1	-	273	hypothetical protein	- none -	 	 
fig|287.6682.peg.757	CDS	NODE_13_length_207869_cov_6.973549	94437	93793	-3	-	645	Cyclic AMP receptor protein	cAMP signaling in bacteria	 	 
fig|287.6682.peg.758	CDS	NODE_13_length_207869_cov_6.973549	94723	95439	1	+	717	hypothetical protein	- none -	 	 
fig|287.6682.peg.759	CDS	NODE_13_length_207869_cov_6.973549	95536	97968	1	+	2433	hypothetical protein	- none -	 	 
fig|287.6682.peg.760	CDS	NODE_13_length_207869_cov_6.973549	98056	98640	1	+	585	hypothetical protein	- none -	 	 
fig|287.6682.peg.761	CDS	NODE_13_length_207869_cov_6.973549	98965	98732	-1	-	234	hypothetical protein	- none -	 	 
fig|287.6682.peg.762	CDS	NODE_13_length_207869_cov_6.973549	99233	99000	-2	-	234	hypothetical protein	- none -	 	 
fig|287.6682.peg.763	CDS	NODE_13_length_207869_cov_6.973549	99551	99324	-2	-	228	hypothetical protein	- none -	 	 
fig|287.6682.peg.764	CDS	NODE_13_length_207869_cov_6.973549	99907	99569	-1	-	339	hypothetical protein	- none -	 	 
fig|287.6682.peg.765	CDS	NODE_13_length_207869_cov_6.973549	100121	99918	-2	-	204	hypothetical protein	- none -	 	 
fig|287.6682.peg.766	CDS	NODE_13_length_207869_cov_6.973549	100450	100172	-1	-	279	hypothetical protein	- none -	 	 
fig|287.6682.peg.767	CDS	NODE_13_length_207869_cov_6.973549	100861	100640	-1	-	222	hypothetical protein	- none -	 	 
fig|287.6682.peg.768	CDS	NODE_13_length_207869_cov_6.973549	101463	101218	-3	-	246	hypothetical protein	- none -	 	 
fig|287.6682.peg.769	CDS	NODE_13_length_207869_cov_6.973549	101803	101576	-1	-	228	hypothetical protein	- none -	 	 
fig|287.6682.peg.770	CDS	NODE_13_length_207869_cov_6.973549	102399	102187	-3	-	213	hypothetical protein	- none -	 	 
fig|287.6682.peg.771	CDS	NODE_13_length_207869_cov_6.973549	102781	102410	-1	-	372	hypothetical protein	- none -	 	 
fig|287.6682.peg.772	CDS	NODE_13_length_207869_cov_6.973549	103075	102797	-1	-	279	hypothetical protein	- none -	 	 
fig|287.6682.peg.773	CDS	NODE_13_length_207869_cov_6.973549	103396	103166	-1	-	231	hypothetical protein	- none -	 	 
fig|287.6682.peg.774	CDS	NODE_13_length_207869_cov_6.973549	104067	103393	-3	-	675	phage integrase	- none -	 	 
fig|287.6682.peg.775	CDS	NODE_13_length_207869_cov_6.973549	104502	104209	-3	-	294	hypothetical protein	- none -	 	 
fig|287.6682.peg.776	CDS	NODE_13_length_207869_cov_6.973549	105294	104809	-3	-	486	hypothetical protein	- none -	 	 
fig|287.6682.peg.777	CDS	NODE_13_length_207869_cov_6.973549	105418	105299	-1	-	120	hypothetical protein	- none -	 	 
fig|287.6682.peg.778	CDS	NODE_13_length_207869_cov_6.973549	105494	105640	2	+	147	hypothetical protein	- none -	 	 
fig|287.6682.peg.779	CDS	NODE_13_length_207869_cov_6.973549	106134	105793	-3	-	342	hypothetical protein	- none -	 	 
fig|287.6682.peg.780	CDS	NODE_13_length_207869_cov_6.973549	106563	106153	-3	-	411	hypothetical protein	- none -	 	 
fig|287.6682.peg.781	CDS	NODE_13_length_207869_cov_6.973549	107198	106605	-2	-	594	hypothetical protein	- none -	 	 
fig|287.6682.peg.782	CDS	NODE_13_length_207869_cov_6.973549	107604	107473	-3	-	132	hypothetical protein	- none -	 	 
fig|287.6682.peg.783	CDS	NODE_13_length_207869_cov_6.973549	107730	108314	3	+	585	hypothetical protein	- none -	 	 
fig|287.6682.peg.784	CDS	NODE_13_length_207869_cov_6.973549	108324	109373	3	+	1050	hypothetical protein	- none -	 	 
fig|287.6682.peg.785	CDS	NODE_13_length_207869_cov_6.973549	110168	109464	-2	-	705	hypothetical protein	- none -	 	 
fig|287.6682.peg.786	CDS	NODE_13_length_207869_cov_6.973549	110427	110894	3	+	468	hypothetical protein	- none -	 	 
fig|287.6682.peg.787	CDS	NODE_13_length_207869_cov_6.973549	111151	111282	1	+	132	hypothetical protein	- none -	 	 
fig|287.6682.peg.788	CDS	NODE_13_length_207869_cov_6.973549	111288	111413	3	+	126	hypothetical protein	- none -	 	 
fig|287.6682.peg.789	CDS	NODE_13_length_207869_cov_6.973549	112086	111427	-3	-	660	hypothetical protein	- none -	 	 
fig|287.6682.peg.790	CDS	NODE_13_length_207869_cov_6.973549	112379	112573	2	+	195	hypothetical protein	- none -	 	 
fig|287.6682.peg.791	CDS	NODE_13_length_207869_cov_6.973549	112768	113442	1	+	675	hypothetical protein	- none -	 	 
fig|287.6682.peg.792	CDS	NODE_13_length_207869_cov_6.973549	113521	114141	1	+	621	hypothetical protein	- none -	 	 
fig|287.6682.peg.793	CDS	NODE_13_length_207869_cov_6.973549	114198	114674	3	+	477	hypothetical protein	- none -	 	 
fig|287.6682.peg.794	CDS	NODE_13_length_207869_cov_6.973549	114790	115416	1	+	627	hypothetical protein	- none -	 	 
fig|287.6682.peg.795	CDS	NODE_13_length_207869_cov_6.973549	116163	115468	-3	-	696	hypothetical protein	- none -	 	 
fig|287.6682.peg.796	CDS	NODE_13_length_207869_cov_6.973549	116461	116255	-1	-	207	hypothetical protein	- none -	 	 
fig|287.6682.peg.797	CDS	NODE_13_length_207869_cov_6.973549	116736	116482	-3	-	255	hypothetical protein	- none -	 	 
fig|287.6682.peg.798	CDS	NODE_13_length_207869_cov_6.973549	117188	116733	-2	-	456	hypothetical protein	- none -	 	 
fig|287.6682.peg.799	CDS	NODE_13_length_207869_cov_6.973549	117600	117226	-3	-	375	hypothetical protein	- none -	 	 
fig|287.6682.peg.800	CDS	NODE_13_length_207869_cov_6.973549	118443	117658	-3	-	786	hypothetical protein	- none -	 	 
fig|287.6682.peg.801	CDS	NODE_13_length_207869_cov_6.973549	118819	119529	1	+	711	hypothetical protein	- none -	 	 
fig|287.6682.peg.802	CDS	NODE_13_length_207869_cov_6.973549	119552	119683	2	+	132	hypothetical protein	- none -	 	 
fig|287.6682.peg.803	CDS	NODE_13_length_207869_cov_6.973549	119720	120541	2	+	822	Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-)	Type IV pilus; <br>Type IV pilus	 	 
fig|287.6682.peg.804	CDS	NODE_13_length_207869_cov_6.973549	120665	121945	2	+	1281	hypothetical protein	- none -	 	 
fig|287.6682.peg.805	CDS	NODE_13_length_207869_cov_6.973549	123008	123508	2	+	501	hypothetical protein	- none -	 	 
fig|287.6682.peg.806	CDS	NODE_13_length_207869_cov_6.973549	123496	124170	1	+	675	hypothetical protein	- none -	 	 
fig|287.6682.peg.807	CDS	NODE_13_length_207869_cov_6.973549	124449	125567	3	+	1119	hypothetical protein	- none -	 	 
fig|287.6682.peg.808	CDS	NODE_13_length_207869_cov_6.973549	126627	125575	-3	-	1053	hypothetical protein	- none -	 	 
fig|287.6682.peg.809	CDS	NODE_13_length_207869_cov_6.973549	126944	127078	2	+	135	hypothetical protein	- none -	 	 
fig|287.6682.peg.810	CDS	NODE_13_length_207869_cov_6.973549	128352	127360	-3	-	993	hypothetical protein	- none -	 	 
fig|287.6682.peg.811	CDS	NODE_13_length_207869_cov_6.973549	129243	128365	-3	-	879	hypothetical protein	- none -	 	 
fig|287.6682.peg.812	CDS	NODE_13_length_207869_cov_6.973549	129630	130496	3	+	867	TolA protein	Ton and Tol transport systems	 	 
fig|287.6682.peg.813	CDS	NODE_13_length_207869_cov_6.973549	130670	131761	2	+	1092	Tn4652, cointegrate resolution protein S	- none -	 	 
fig|287.6682.peg.814	CDS	NODE_13_length_207869_cov_6.973549	132281	131964	-2	-	318	hypothetical protein	- none -	 	 
fig|287.6682.peg.815	CDS	NODE_13_length_207869_cov_6.973549	133102	132278	-1	-	825	hypothetical protein	- none -	 	 
fig|287.6682.peg.816	CDS	NODE_13_length_207869_cov_6.973549	135708	133189	-3	-	2520	hypothetical protein	- none -	 	 
fig|287.6682.peg.817	CDS	NODE_13_length_207869_cov_6.973549	135751	135900	1	+	150	hypothetical protein	- none -	 	 
fig|287.6682.peg.818	CDS	NODE_13_length_207869_cov_6.973549	136354	137004	1	+	651	hypothetical protein	- none -	 	 
fig|287.6682.peg.819	CDS	NODE_13_length_207869_cov_6.973549	137428	137210	-1	-	219	hypothetical protein	- none -	 	 
fig|287.6682.peg.820	CDS	NODE_13_length_207869_cov_6.973549	137692	137438	-1	-	255	hypothetical protein	- none -	 	 
fig|287.6682.peg.821	CDS	NODE_13_length_207869_cov_6.973549	138038	137709	-2	-	330	hypothetical protein	- none -	 	 
fig|287.6682.peg.822	CDS	NODE_13_length_207869_cov_6.973549	138329	138069	-2	-	261	hypothetical protein	- none -	 	 
fig|287.6682.peg.823	CDS	NODE_13_length_207869_cov_6.973549	138707	138357	-2	-	351	hypothetical protein	- none -	 	 
fig|287.6682.peg.824	CDS	NODE_13_length_207869_cov_6.973549	139411	138788	-1	-	624	hypothetical protein	- none -	 	 
fig|287.6682.peg.825	CDS	NODE_13_length_207869_cov_6.973549	139822	139577	-1	-	246	hypothetical protein	- none -	 	 
fig|287.6682.peg.826	CDS	NODE_13_length_207869_cov_6.973549	140121	139870	-3	-	252	hypothetical protein	- none -	 	 
fig|287.6682.peg.827	CDS	NODE_13_length_207869_cov_6.973549	140488	140267	-1	-	222	hypothetical protein	- none -	 	 
fig|287.6682.peg.828	CDS	NODE_13_length_207869_cov_6.973549	141197	140652	-2	-	546	hypothetical protein	- none -	 	 
fig|287.6682.peg.829	CDS	NODE_13_length_207869_cov_6.973549	142425	141205	-3	-	1221	Error-prone, lesion bypass DNA polymerase V (UmuC)	DNA repair, bacterial UmuCD system	 	 
fig|287.6682.peg.830	CDS	NODE_13_length_207869_cov_6.973549	142904	142476	-2	-	429	Error-prone repair protein UmuD	DNA repair, bacterial UmuCD system	 	 
fig|287.6682.peg.831	CDS	NODE_13_length_207869_cov_6.973549	143426	143100	-2	-	327	hypothetical protein	- none -	 	 
fig|287.6682.peg.832	CDS	NODE_13_length_207869_cov_6.973549	144031	143471	-1	-	561	hypothetical protein	- none -	 	 
fig|287.6682.peg.833	CDS	NODE_13_length_207869_cov_6.973549	144597	144118	-3	-	480	hypothetical protein	- none -	 	 
fig|287.6682.peg.834	CDS	NODE_13_length_207869_cov_6.973549	145052	145246	2	+	195	hypothetical protein	- none -	 	 
fig|287.6682.peg.835	CDS	NODE_13_length_207869_cov_6.973549	145248	145472	3	+	225	hypothetical protein	- none -	 	 
fig|287.6682.peg.836	CDS	NODE_13_length_207869_cov_6.973549	145651	145938	1	+	288	hypothetical protein	- none -	 	 
fig|287.6682.peg.837	CDS	NODE_13_length_207869_cov_6.973549	146131	146784	1	+	654	hypothetical protein	- none -	 	 
fig|287.6682.peg.838	CDS	NODE_13_length_207869_cov_6.973549	146786	148177	2	+	1392	hypothetical protein	- none -	 	 
fig|287.6682.peg.839	CDS	NODE_13_length_207869_cov_6.973549	148203	148874	3	+	672	hypothetical protein	- none -	 	 
fig|287.6682.peg.840	CDS	NODE_13_length_207869_cov_6.973549	148983	149402	3	+	420	hypothetical protein	- none -	 	 
fig|287.6682.peg.841	CDS	NODE_13_length_207869_cov_6.973549	149931	149509	-3	-	423	hypothetical protein	- none -	 	 
fig|287.6682.peg.842	CDS	NODE_13_length_207869_cov_6.973549	150189	150058	-3	-	132	hypothetical protein	- none -	 	 
fig|287.6682.peg.843	CDS	NODE_13_length_207869_cov_6.973549	150854	150354	-2	-	501	hypothetical protein	- none -	 	 
fig|287.6682.peg.844	CDS	NODE_13_length_207869_cov_6.973549	151625	151747	2	+	123	hypothetical protein	- none -	 	 
fig|287.6682.peg.845	CDS	NODE_13_length_207869_cov_6.973549	152133	152756	3	+	624	hypothetical protein	- none -	 	 
fig|287.6682.peg.846	CDS	NODE_13_length_207869_cov_6.973549	154575	153586	-3	-	990	hypothetical protein	- none -	 	 
fig|287.6682.peg.847	CDS	NODE_13_length_207869_cov_6.973549	154944	154771	-3	-	174	hypothetical protein	- none -	 	 
fig|287.6682.peg.848	CDS	NODE_13_length_207869_cov_6.973549	155339	155097	-2	-	243	hypothetical protein	- none -	 	 
fig|287.6682.peg.849	CDS	NODE_13_length_207869_cov_6.973549	155734	155399	-1	-	336	hypothetical protein	- none -	 	 
fig|287.6682.peg.850	CDS	NODE_13_length_207869_cov_6.973549	156293	155829	-2	-	465	hypothetical protein	- none -	 	 
fig|287.6682.peg.851	CDS	NODE_13_length_207869_cov_6.973549	156952	156554	-1	-	399	hypothetical protein	- none -	 	 
fig|287.6682.peg.852	CDS	NODE_13_length_207869_cov_6.973549	157149	156949	-3	-	201	hypothetical protein	- none -	 	 
fig|287.6682.peg.853	CDS	NODE_13_length_207869_cov_6.973549	157525	157241	-1	-	285	hypothetical protein	- none -	 	 
fig|287.6682.peg.854	CDS	NODE_13_length_207869_cov_6.973549	158194	158015	-1	-	180	hypothetical protein	- none -	 	 
fig|287.6682.peg.855	CDS	NODE_13_length_207869_cov_6.973549	158487	158831	3	+	345	hypothetical protein	- none -	 	 
fig|287.6682.peg.856	CDS	NODE_13_length_207869_cov_6.973549	160917	158971	-3	-	1947	hypothetical protein	- none -	 	 
fig|287.6682.peg.857	CDS	NODE_13_length_207869_cov_6.973549	161469	161023	-3	-	447	hypothetical protein	- none -	 	 
fig|287.6682.peg.858	CDS	NODE_13_length_207869_cov_6.973549	161896	161618	-1	-	279	hypothetical protein	- none -	 	 
fig|287.6682.peg.859	CDS	NODE_13_length_207869_cov_6.973549	162505	161993	-1	-	513	hypothetical protein	- none -	 	 
fig|287.6682.peg.860	CDS	NODE_13_length_207869_cov_6.973549	163914	162601	-3	-	1314	Toxin HigB / Protein kinase domain of HipA	- none -	 	 
fig|287.6682.peg.861	CDS	NODE_13_length_207869_cov_6.973549	164300	163908	-2	-	393	hypothetical protein	- none -	 	 
fig|287.6682.peg.862	CDS	NODE_13_length_207869_cov_6.973549	165499	164783	-1	-	717	hypothetical protein	- none -	 	 
fig|287.6682.peg.863	CDS	NODE_13_length_207869_cov_6.973549	165879	166448	3	+	570	hypothetical protein	- none -	 	 
fig|287.6682.peg.864	CDS	NODE_13_length_207869_cov_6.973549	166543	167091	1	+	549	hypothetical protein	- none -	 	 
fig|287.6682.peg.865	CDS	NODE_13_length_207869_cov_6.973549	167812	167979	1	+	168	hypothetical protein	- none -	 	 
fig|287.6682.peg.866	CDS	NODE_13_length_207869_cov_6.973549	168709	168065	-1	-	645	hypothetical protein	- none -	 	 
fig|287.6682.peg.867	CDS	NODE_13_length_207869_cov_6.973549	168892	169950	1	+	1059	hypothetical protein	- none -	 	 
fig|287.6682.peg.868	CDS	NODE_13_length_207869_cov_6.973549	170016	170372	3	+	357	hypothetical protein	- none -	 	 
fig|287.6682.peg.869	CDS	NODE_13_length_207869_cov_6.973549	170844	170425	-3	-	420	C4-type zinc finger protein, DksA/TraR family	- none -	 	 
fig|287.6682.peg.870	CDS	NODE_13_length_207869_cov_6.973549	171029	171376	2	+	348	hypothetical protein	- none -	 	 
fig|287.6682.peg.871	CDS	NODE_13_length_207869_cov_6.973549	171387	171731	3	+	345	hypothetical protein	- none -	 	 
fig|287.6682.peg.872	CDS	NODE_13_length_207869_cov_6.973549	171838	172113	1	+	276	DNA-binding protein HU-beta	DNA structural proteins, bacterial	 	 
fig|287.6682.peg.873	CDS	NODE_13_length_207869_cov_6.973549	172357	172839	1	+	483	hypothetical protein	- none -	 	 
fig|287.6682.peg.874	CDS	NODE_13_length_207869_cov_6.973549	172845	175028	3	+	2184	hypothetical protein	- none -	 	 
fig|287.6682.peg.875	CDS	NODE_13_length_207869_cov_6.973549	175018	176826	1	+	1809	hypothetical protein	- none -	 	 
fig|287.6682.peg.876	CDS	NODE_13_length_207869_cov_6.973549	176864	177199	2	+	336	putative transmembrane protein	- none -	 	 
fig|287.6682.peg.877	CDS	NODE_13_length_207869_cov_6.973549	177312	177659	3	+	348	hypothetical protein	- none -	 	 
fig|287.6682.peg.878	CDS	NODE_13_length_207869_cov_6.973549	177663	178043	3	+	381	hypothetical protein	- none -	 	 
fig|287.6682.peg.879	CDS	NODE_13_length_207869_cov_6.973549	178072	178455	1	+	384	hypothetical protein	- none -	 	 
fig|287.6682.peg.880	CDS	NODE_13_length_207869_cov_6.973549	178457	179089	2	+	633	hypothetical protein	- none -	 	 
fig|287.6682.peg.881	CDS	NODE_13_length_207869_cov_6.973549	179093	179890	2	+	798	hypothetical protein	- none -	 	 
fig|287.6682.peg.882	CDS	NODE_13_length_207869_cov_6.973549	179887	181431	1	+	1545	hypothetical protein	- none -	 	 
fig|287.6682.peg.883	CDS	NODE_13_length_207869_cov_6.973549	181443	181781	3	+	339	putative conjugative transfer protein	- none -	 	 
fig|287.6682.peg.884	CDS	NODE_13_length_207869_cov_6.973549	181769	182239	2	+	471	hypothetical protein	- none -	 	 
fig|287.6682.peg.885	CDS	NODE_13_length_207869_cov_6.973549	182243	185134	2	+	2892	hypothetical protein	- none -	 	 
fig|287.6682.peg.886	CDS	NODE_13_length_207869_cov_6.973549	185115	185501	3	+	387	hypothetical protein	- none -	 	 
